sentence,label,predictions
it 's a charming and often affecting journey . ,positive,positive
unflinchingly bleak and desperate ,negative,negative
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,positive,positive
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",positive,positive
"it 's slow -- very , very slow . ",negative,negative
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",positive,positive
a sometimes tedious film . ,negative,negative
or doing last year 's taxes with your ex-wife . ,negative,negative
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,positive,positive
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",negative,negative
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,positive,positive
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",negative,negative
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,negative,negative
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",positive,positive
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,negative,negative
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",positive,positive
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,positive,positive
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",positive,positive
... the movie is just a plain old monster . ,negative,negative
"in its best moments , resembles a bad high school production of grease , without benefit of song . ",negative,negative
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",negative,negative
the iditarod lasts for days - this just felt like it did . ,negative,negative
holden caulfield did it better . ,negative,negative
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",positive,positive
seldom has a movie so closely matched the spirit of a man and his work . ,positive,positive
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",negative,negative
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",negative,negative
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,positive,positive
"it 's a cookie-cutter movie , a cut-and-paste job . ",negative,negative
i had to look away - this was god awful . ,negative,negative
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",positive,positive
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",negative,negative
"a gorgeous , witty , seductive movie . ",positive,positive
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",negative,negative
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",negative,negative
a sequence of ridiculous shoot - 'em - up scenes . ,negative,negative
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",positive,positive
