sentence,label,preds
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,negative,positive
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,negative,positive
"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",positive,negative
hilariously inept and ridiculous . ,positive,negative
a solid film ... but more conscientious than it is truly stirring . ,positive,negative
"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ",negative,positive
rarely has leukemia looked so shimmering and benign . ,negative,positive
"the lower your expectations , the more you 'll enjoy it . ",negative,positive
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",negative,positive
as unseemly as its title suggests . ,positive,negative
"minority report is exactly what the title indicates , a report . ",positive,negative
"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",positive,negative
but it could have been worse . ,negative,positive
nothing is sacred in this gut-buster . ,negative,positive
"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",negative,positive
"outer-space buffs might love this film , but others will find its pleasures intermittent . ",negative,positive
"something akin to a japanese alice through the looking glass , except that it seems to take itself far more seriously . ",positive,negative
intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . ,positive,negative
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . ,negative,positive
funny but perilously slight . ,positive,negative
"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . ",positive,negative
a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . ,positive,negative
moretti 's compelling anatomy of grief and the difficult process of adapting to loss . ,negative,positive
"the film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner . ",negative,positive
"so much facile technique , such cute ideas , so little movie . ",positive,negative
"good film , but very glum . ",positive,negative
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",negative,positive
"... routine , harmless diversion and little else . ",positive,negative
how do you spell cliché ? ,negative,positive
american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,negative,positive
a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . ,positive,negative
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned . ,positive,negative
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",negative,positive
"this film seems thirsty for reflection , itself taking on adolescent qualities . ",negative,positive
"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater . ",negative,positive
"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ",negative,positive
"an absurdist comedy about alienation , separation and loss . ",negative,positive
"miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness . ",positive,negative
part low rent godfather . ,negative,positive
