sentence,label,preds
"you wo n't like roger , but you will quickly recognize him . ",negative,positive
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,negative,positive
hilariously inept and ridiculous . ,positive,negative
"like leon , it 's frustrating and still oddly likable . ",positive,negative
rarely has leukemia looked so shimmering and benign . ,negative,positive
"the lower your expectations , the more you 'll enjoy it . ",negative,positive
reign of fire looks as if it was made without much thought -- and is best watched that way . ,positive,negative
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",negative,positive
as unseemly as its title suggests . ,positive,negative
"minority report is exactly what the title indicates , a report . ",positive,negative
"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",positive,negative
but it could have been worse . ,negative,positive
nothing is sacred in this gut-buster . ,negative,positive
"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",negative,positive
"outer-space buffs might love this film , but others will find its pleasures intermittent . ",negative,positive
intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . ,positive,negative
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . ,negative,positive
"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . ",positive,negative
a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . ,positive,negative
moretti 's compelling anatomy of grief and the difficult process of adapting to loss . ,negative,positive
"the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate . ",negative,positive
"so much facile technique , such cute ideas , so little movie . ",positive,negative
slick piece of cross-promotion . ,positive,negative
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",negative,positive
"... routine , harmless diversion and little else . ",positive,negative
american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,negative,positive
"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . ",positive,negative
not an objectionable or dull film ; it merely lacks everything except good intentions . ,negative,positive
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned . ,positive,negative
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",negative,positive
"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater . ",negative,positive
"an absurdist comedy about alienation , separation and loss . ",negative,positive
"miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness . ",positive,negative
"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . ",positive,negative
